symbol,date,open,high,low,close,volume,wap,barcount
NVDA,20250505 14:03:00 US/Eastern,114.26,114.32,114.21,114.3,147731,114.275,480
NVDA,20250505 14:04:00 US/Eastern,114.3,114.32,114.28,114.31,75669,114.307,274
NVDA,20250505 14:05:00 US/Eastern,114.31,114.32,114.27,114.29,83410,114.305,271
NVDA,20250505 14:06:00 US/Eastern,114.3,114.34,114.26,114.34,125156,114.307,483
NVDA,20250505 14:07:00 US/Eastern,114.34,114.53,114.34,114.5,594654,114.454,1739
NVDA,20250505 14:08:00 US/Eastern,114.5,114.5,114.45,114.47,199992,114.47,726
NVDA,20250505 14:09:00 US/Eastern,114.47,114.49,114.39,114.43,176609,114.439,622
NVDA,20250505 14:10:00 US/Eastern,114.43,114.44,114.37,114.38,142270,114.413,438
NVDA,20250505 14:11:00 US/Eastern,114.39,114.44,114.37,114.42,88409,114.414,291
NVDA,20250505 14:12:00 US/Eastern,114.42,114.43,114.39,114.41,71583,114.411,272
NVDA,20250505 14:13:00 US/Eastern,114.4,114.41,114.37,114.39,72806,114.393,271
NVDA,20250505 14:14:00 US/Eastern,114.39,114.47,114.38,114.46,141987,114.444,424
NVDA,20250505 14:15:00 US/Eastern,114.46,114.47,114.43,114.45,100312,114.452,263
NVDA,20250505 14:16:00 US/Eastern,114.45,114.45,114.38,114.39,117074,114.409,362
NVDA,20250505 14:17:00 US/Eastern,114.39,114.41,114.35,114.36,116737,114.379,393
NVDA,20250505 14:18:00 US/Eastern,114.35,114.37,114.31,114.32,147964,114.335,382
NVDA,20250505 14:19:00 US/Eastern,114.32,114.34,114.29,114.33,128626,114.312,442
NVDA,20250505 14:20:00 US/Eastern,114.33,114.39,114.32,114.38,104180,114.353,353
NVDA,20250505 14:21:00 US/Eastern,114.38,114.38,114.35,114.37,77256,114.368,220
NVDA,20250505 14:22:00 US/Eastern,114.37,114.38,114.35,114.36,55177,114.37,220
